Design,Start_Quarter,Adjusted,Incl_PrevQ_Boosted,n,HospVE,Lower95,Upper95
1,Q4 2021,N,N,158195,0.5378091,0.40182715,0.6428785
2,Q4 2021,Y,N,158195,0.5494381,0.41270897,0.6543348
3,Q4 2021,N,Y,168682,0.4051232,0.23922021,0.5348477
4,Q4 2021,Y,Y,168682,0.413113,0.24443096,0.5441365
5,Q1 2022,N,N,30141,0.4734372,0.14804431,0.6745506
6,Q1 2022,Y,N,30141,0.3413041,-0.07714554,0.5971944
7,Q1 2022,N,Y,157466,0.4117025,0.12246036,0.6056087
8,Q1 2022,Y,Y,157466,0.2693193,-0.09350405,0.5117583
9,Q2 2022,N,N,7168,0.6050046,0.10586284,0.8255062
10,Q2 2022,Y,N,7168,0.6193441,0.133858,0.8327077
11,Q2 2022,N,Y,133862,0.5341,0.22982243,0.7181653
12,Q2 2022,Y,Y,133862,0.4198021,0.03806576,0.6500493
13,Q3 2022,N,N,3231,0.7245734,-0.06649557,0.92887
14,Q3 2022,Y,N,3231,0.6846635,-0.22221404,0.9186418
15,Q3 2022,N,Y,106009,0.6013602,0.15253296,0.812484
16,Q3 2022,Y,Y,106009,0.5065002,-0.05281813,0.768676